Date,Name,Year,Letterboxd URI,Rating
2024-08-16,Melancholia,2011,https://boxd.it/bPI,4
2024-08-16,Nymphomaniac: Vol. I,2013,https://boxd.it/7DiG,4
2024-08-16,The Truman Show,1998,https://boxd.it/18U8,4
2024-08-17,Highlander,1986,https://boxd.it/20GE,1.5
2024-08-17,Seven Samurai,1954,https://boxd.it/2axi,3
2024-08-17,Children of Men,2006,https://boxd.it/1Y2i,4
2024-08-17,Network,1976,https://boxd.it/1VqG,2
2024-08-17,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2024-08-18,City of God,2002,https://boxd.it/2a2a,5
2024-08-20,The Kingdom,1994,https://boxd.it/1AZA,3.5
2024-08-21,Downfall,2004,https://boxd.it/2a04,3.5
2024-08-21,Alien,1979,https://boxd.it/2awY,3.5
2024-08-21,Alien: Romulus,2024,https://boxd.it/zGqO,3.5
2024-08-21,Pain & Gain,2013,https://boxd.it/4lp4,4
2024-08-23,Harakiri,1962,https://boxd.it/1NTU,4
2024-08-23,Dancer in the Dark,2000,https://boxd.it/71E,4
2024-08-25,I Hired a Contract Killer,1990,https://boxd.it/20J4,3
2024-09-06,The Coffee Table,2022,https://boxd.it/DY2e,3
2024-09-06,Kinds of Kindness,2024,https://boxd.it/CWPw,3
2024-09-07,Nina,2024,https://boxd.it/Lk9q,0.5
2024-09-08,Le Samouraï,1967,https://boxd.it/22ZI,3.5
2024-09-08,Gummo,1997,https://boxd.it/1H0Y,3.5
2024-09-10,Julien Donkey-Boy,1999,https://boxd.it/VNI,2.5
2024-09-10,The Human Condition I: No Greater Love,1959,https://boxd.it/1jAy,4
2024-09-12,The Human Condition II: Road to Eternity,1959,https://boxd.it/1dJa,4
2024-09-15,Speak No Evil,2024,https://boxd.it/G9f8,3.5
2024-09-16,Beetlejuice,1988,https://boxd.it/24QI,3
2024-09-16,Beetlejuice Beetlejuice,2024,https://boxd.it/yyGs,3
2024-09-16,Cure,1997,https://boxd.it/1blA,2.5
2024-09-19,The Messiah,2023,https://boxd.it/JdpC,4.5
2024-09-21,The Teachers' Lounge,2023,https://boxd.it/BINY,3
2024-09-21,Jumanji: The Next Level,2019,https://boxd.it/ixu4,1.5
2024-09-21,Spree,2020,https://boxd.it/oiiO,3
2024-09-21,Feels Good Man,2020,https://boxd.it/oigS,3.5
2024-09-21,Bad Boys for Life,2020,https://boxd.it/15pc,2
2024-09-21,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,4
2024-09-21,The Social Dilemma,2020,https://boxd.it/opQI,1.5
2024-09-21,Symbiopsychotaxiplasm: Take One,1968,https://boxd.it/R6q,3
2024-09-21,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
2024-09-21,Richard Jewell,2019,https://boxd.it/99Mg,3
2024-09-21,The Skin I Live In,2011,https://boxd.it/99A,4.5
2024-09-21,Possessor,2020,https://boxd.it/fsJW,3
2024-09-21,Videodrome,1983,https://boxd.it/29uC,3
2024-09-21,Citizen Kane,1941,https://boxd.it/71O,3
2024-09-22,Transformers One,2024,https://boxd.it/q7bc,4
2024-09-23,Transformers,2007,https://boxd.it/280c,3
2024-09-27,Twin Peaks: The Return,2017,https://boxd.it/hN9O,5
2024-09-30,Megalopolis,2024,https://boxd.it/lPBS,4.5
2024-10-01,Late Night with the Devil,2023,https://boxd.it/zo6G,3
2024-10-05,The Whale,2022,https://boxd.it/tw4c,3
2024-10-06,Trouble,2024,https://boxd.it/JWLS,2
2024-10-07,Joker: Folie à Deux,2024,https://boxd.it/xBoE,1
2024-10-08,The Boy and the Heron,2023,https://boxd.it/ipeM,3.5
2024-10-11,Vertigo,1958,https://boxd.it/2apI,3.5
2024-10-12,Timecrimes,2007,https://boxd.it/1OGM,4
2024-10-13,The Substance,2024,https://boxd.it/zanS,4
2024-10-14,The Human Condition III: A Soldier's Prayer,1961,https://boxd.it/1dIQ,4
2024-10-15,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,4.5
2024-10-15,Nimic,2019,https://boxd.it/n10Q,3.5
2024-10-15,Black and Blue,2019,https://boxd.it/leT6,1
2024-10-15,Minari,2020,https://boxd.it/mL9M,3
2024-10-15,The Act of Killing,2012,https://boxd.it/44Cg,3.5
2024-10-15,Anima,2019,https://boxd.it/mxuc,3.5
2024-10-15,The Steamroller and the Violin,1961,https://boxd.it/16he,3
2024-10-15,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,3
2024-10-15,Stalker,1979,https://boxd.it/28PO,4.5
2024-10-15,The Killers,1956,https://boxd.it/HEW,2
2024-10-15,Lux Æterna,2019,https://boxd.it/m6b8,3
2024-10-15,Orpheus,1950,https://boxd.it/247o,3.5
2024-10-15,Primer,2004,https://boxd.it/6YA,4
2024-10-15,Incendies,2010,https://boxd.it/Msm,3.5
2024-10-15,Irreversible,2002,https://boxd.it/29as,5
2024-10-18,Eraserhead,1977,https://boxd.it/299u,4
2024-10-19,The Room Next Door,2024,https://boxd.it/Fb4k,3
2024-10-23,Smile 2,2024,https://boxd.it/FDA4,2
2024-10-25,Terrifier 3,2024,https://boxd.it/D8tM,3
2024-10-28,Crash,1996,https://boxd.it/29n2,3
2024-10-28,Bliss,2019,https://boxd.it/lAok,4.5
2024-10-28,Insomnia,2002,https://boxd.it/2aB0,2.5
2024-10-28,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,2.5
2024-10-28,Saltburn,2023,https://boxd.it/z4eg,2.5
2024-10-28,Inside Out 2,2024,https://boxd.it/CFrC,2.5
2024-10-28,"Good Luck to You, Leo Grande",2022,https://boxd.it/stYk,2.5
2024-10-28,Motherless Brooklyn,2019,https://boxd.it/ieJk,2.5
2024-10-28,Glass Onion,2022,https://boxd.it/oCkK,3.5
2024-10-28,Venom: The Last Dance,2024,https://boxd.it/ynqo,1.5
2024-10-28,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,3.5
2024-10-29,La Joia: Bad Gyal,2024,https://boxd.it/Qjnm,1
2024-10-30,The Straight Story,1999,https://boxd.it/2ass,3.5
2024-10-31,Sans Soleil,1983,https://boxd.it/28B8,3
2024-10-31,The Fabelmans,2022,https://boxd.it/ugoM,3.5
2024-11-01,First Reformed,2017,https://boxd.it/go9C,4
2024-11-01,Possession,1981,https://boxd.it/1BPm,2.5
2024-11-01,L'Argent,1983,https://boxd.it/XIg,3
2024-11-02,Knock at the Cabin,2023,https://boxd.it/npL2,3
2024-11-02,Juror #2,2024,https://boxd.it/FRwU,3
2024-11-04,Dune,1984,https://boxd.it/29tY,3
2024-11-05,The Seventh Seal,1957,https://boxd.it/2ahO,3.5
2024-11-10,Matador,1986,https://boxd.it/20EI,4
2024-11-12,The 400 Blows,1959,https://boxd.it/2b1C,3.5
2024-11-13,Beau Travail,1999,https://boxd.it/1NI8,4
2024-11-14,Out 1,1971,https://boxd.it/3i2a,3.5
2024-11-16,Twisters,2024,https://boxd.it/qV7a,2.5
2024-11-16,A Woman Under the Influence,1974,https://boxd.it/1myg,3
2024-11-17,The Celebration,1998,https://boxd.it/2aCM,3
2024-11-17,Gladiator II,2024,https://boxd.it/kqQQ,3
2024-11-18,The Night of the Hunter,1955,https://boxd.it/25HW,3.5
2024-11-19,Deerskin,2019,https://boxd.it/lqOW,3
2024-11-23,The Beast,2023,https://boxd.it/yqmk,3.5
2024-11-25,Wicked,2024,https://boxd.it/e8ME,3
2024-11-29,Blow Out,1981,https://boxd.it/1TlE,3.5
2024-12-03,Yojimbo,1961,https://boxd.it/1SRY,3
2024-12-05,Green Room,2015,https://boxd.it/a75m,3
