Date,Name,Year,Letterboxd URI,Rating
2020-06-11,Wildlife,2018,https://boxd.it/eKYe,3
2020-06-14,Bad Education,2019,https://boxd.it/jiME,3.5
2020-06-15,As Good as It Gets,1997,https://boxd.it/268y,3.5
2020-06-26,It's Kind of a Funny Story,2010,https://boxd.it/Tfa,3
2020-06-29,The Virgin Suicides,1999,https://boxd.it/28JG,4
2020-07-01,Black Mirror: Fifteen Million Merits,2011,https://boxd.it/hQYU,4
2020-07-05,Black Mirror: The Waldo Moment,2013,https://boxd.it/hRpQ,3
2020-07-05,Black Mirror: White Christmas,2014,https://boxd.it/B3qu,3.5
2020-07-12,Submarine,2010,https://boxd.it/H4a,4
2020-07-12,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,2.5
2020-07-12,Mona Lisa Smile,2003,https://boxd.it/1T0Q,3
2020-07-15,The Farewell,2019,https://boxd.it/kIky,4
2020-07-18,Some Like It Hot,1959,https://boxd.it/2aNA,4.5
2020-07-25,Paddington 2,2017,https://boxd.it/bCF8,4
2020-07-27,The Private Life of Sherlock Holmes,1970,https://boxd.it/23eI,3
2020-07-29,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,5
2020-08-13,Military Wives,2019,https://boxd.it/mQBc,2.5
2020-08-13,Bend It Like Beckham,2002,https://boxd.it/2am0,3.5
2020-08-19,The Princess Bride,1987,https://boxd.it/26EY,2.5
2020-08-19,Return of the Jedi,1983,https://boxd.it/27Vm,3.5
2020-08-19,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2020-08-19,The Sound of Music,1965,https://boxd.it/1MLK,3
2020-08-19,Mary Poppins,1964,https://boxd.it/2aoA,3.5
2020-08-19,Alice in Wonderland,1951,https://boxd.it/1Sz6,3.5
2020-10-03,Enola Holmes,2020,https://boxd.it/hX2o,4
2020-10-04,Les Misérables,2019,https://boxd.it/lAPA,4.5
2020-10-05,Greenland,2020,https://boxd.it/j1Um,3
2020-10-11,Pride & Prejudice,2005,https://boxd.it/24u8,4.5
2020-10-13,Stand by Me,1986,https://boxd.it/2aOe,4
2020-11-02,Quiz,2020,https://boxd.it/pSzS,3
2020-11-03,8 Mile,2002,https://boxd.it/2bew,3.5
2020-11-03,Emma.,2020,https://boxd.it/kmg0,4
2020-11-04,Philadelphia,1993,https://boxd.it/1XMk,3.5
2020-11-16,Donnie Darko,2001,https://boxd.it/2b2A,3.5
2020-11-29,The Queen's Gambit,2020,https://boxd.it/s1Ym,4.5
2020-11-30,The Commitments,1991,https://boxd.it/1TiA,4.5
2020-12-19,Shakespeare in Love,1998,https://boxd.it/27Pe,3
2020-12-19,Hannibal,2001,https://boxd.it/1XVc,3
2020-12-20,My Life as a Zucchini,2016,https://boxd.it/dL2y,4.5
2020-12-21,Love Actually,2003,https://boxd.it/2aeU,5
2021-01-05,The Midnight Sky,2020,https://boxd.it/mK6C,2.5
2021-01-09,The Minimalists: Less Is Now,2021,https://boxd.it/t5Ww,2
2021-01-18,Fisherman's Friends,2019,https://boxd.it/kup0,3
2021-01-25,Snatch,2000,https://boxd.it/2b7U,4.5
2021-01-30,The Dark Knight Rises,2012,https://boxd.it/H3m,3.5
2021-01-31,Rushmore,1998,https://boxd.it/1TAO,3.5
2021-02-01,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4.5
2021-02-13,The Fisher King,1991,https://boxd.it/2aWM,3.5
2021-02-15,Miss Americana,2020,https://boxd.it/oifq,4.5
2021-02-22,Promising Young Woman,2020,https://boxd.it/loRE,3.5
2021-02-23,Before Sunrise,1995,https://boxd.it/2bcU,5
2021-03-03,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4.5
2021-03-03,Her,2013,https://boxd.it/4O24,5
2021-03-21,John Tucker Must Die,2006,https://boxd.it/1Z2S,3
2021-03-30,Minari,2020,https://boxd.it/mL9M,3.5
2021-04-02,Palm Springs,2020,https://boxd.it/lCXQ,3.5
2021-04-03,Pride,2014,https://boxd.it/6TwM,4.5
2021-04-05,Nomadland,2020,https://boxd.it/lnRy,3
2021-04-05,Howl's Moving Castle,2004,https://boxd.it/23De,4
2021-04-18,Hoosiers,1986,https://boxd.it/22Ke,3.5
2021-05-02,I Care a Lot,2020,https://boxd.it/mcHk,3
2021-05-04,The Squid and the Whale,2005,https://boxd.it/1VAG,4
2021-05-29,"Torrente, the Dumb Arm of the Law",1998,https://boxd.it/28Wg,3
2021-06-01,10 Things I Hate About You,1999,https://boxd.it/23AO,5
2021-06-05,Bo Burnham: Inside,2021,https://boxd.it/v2uy,5
2021-06-13,Cruella,2021,https://boxd.it/bbKg,3
2021-06-20,Circle,2015,https://boxd.it/b5So,2.5
2021-06-21,The King of Staten Island,2020,https://boxd.it/litG,3.5
2021-06-27,Baby Driver,2017,https://boxd.it/bhF2,3.5
2021-07-04,The Truman Show,1998,https://boxd.it/18U8,5
2021-07-05,In the Heights,2021,https://boxd.it/gLhu,3.5
2021-07-11,A Quiet Place Part II,2020,https://boxd.it/iTx0,3.5
2021-07-11,Rain Man,1988,https://boxd.it/2avw,4.5
2021-07-17,Clue,1985,https://boxd.it/1MDQ,2.5
2021-07-18,But I'm a Cheerleader,1999,https://boxd.it/1CW4,3.5
2021-07-22,Dark Blue Almost Black,2006,https://boxd.it/24ZK,3
2021-07-22,Molly's Game,2017,https://boxd.it/dSl8,4
2021-07-22,Pitch Perfect,2012,https://boxd.it/3OsE,4
2021-08-07,Almost Famous,2000,https://boxd.it/29CQ,3.5
2021-08-09,The Untouchables,1987,https://boxd.it/2b6i,4
2021-08-21,Old,2021,https://boxd.it/npKI,3
2021-08-23,Nine Queens,2000,https://boxd.it/1HBA,3
2021-08-24,Zodiac,2007,https://boxd.it/27MO,4
2021-08-24,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2021-09-06,Radio Days,1987,https://boxd.it/1kms,4
2021-09-12,Split,2016,https://boxd.it/dgSy,3.5
2021-09-20,Dune,2021,https://boxd.it/fA7G,5
2021-10-04,Glass,2019,https://boxd.it/g3uO,2.5
2021-10-04,She's All That,1999,https://boxd.it/1Wz0,2.5
2021-10-11,Parallel Mothers,2021,https://boxd.it/sOP4,3
2021-10-15,Knives Out,2019,https://boxd.it/jWEA,4.5
2021-10-24,Downsizing,2017,https://boxd.it/9Ajq,2
2021-11-01,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,4
2021-11-07,"Legally Blonde 2: Red, White & Blonde",2003,https://boxd.it/1Wxe,2.5
2021-11-07,Enemy,2013,https://boxd.it/5xtO,1.5
2021-11-11,Finch,2021,https://boxd.it/iXBq,3
2021-11-21,American Psycho,2000,https://boxd.it/28Vs,4.5
2021-11-29,House of Gucci,2021,https://boxd.it/nVkC,3.5
2021-12-04,The Hurricane,1999,https://boxd.it/1Wmg,3.5
2021-12-19,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2022-01-08,West Side Story,2021,https://boxd.it/iwt0,3.5
2022-01-10,The Outsiders,1983,https://boxd.it/2aPw,4
2022-01-10,Punch-Drunk Love,2002,https://boxd.it/20E4,2.5
2022-01-17,Being the Ricardos,2021,https://boxd.it/iJQc,3
2022-01-21,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK,2
2022-02-07,The Eyes of Tammy Faye,2021,https://boxd.it/mbB6,3
2022-02-07,The Green Knight,2021,https://boxd.it/kuy2,2
2022-02-20,The Big Short,2015,https://boxd.it/ajZw,4.5
2022-02-26,Zombieland,2009,https://boxd.it/1En6,4
2022-02-26,Death on the Nile,2022,https://boxd.it/ifpg,1.5
