title_normalized,title_original,tmdb_id,year,director,tmdb_genres,tmdb_keywords,nanogenres,themes,overview,popularity,vote_average,lb_url
the lives of others,The Lives of Others,582,2006,Florian Henckel von Donnersmarck,Drama|Thriller,"berlin, germany|government|corruption|espionage|germany|berlin wall|german democratic republic|cold war|blackmail|stasi|soviet union|freedom of speech|house search|artists' life|interrogation|surveillance|heartbreak|east germany|communism|corrupt agent",,,"In 1984 East Berlin, dedicated Stasi officer Gerd Wiesler begins spying on a famous playwright and his actress-lover Christa-Maria. Wiesler becomes unexpectedly sympathetic to the couple, and faces conflicting loyalties when his superior takes a liking to Christa-Maria.",6.0184,8.037,https://letterboxd.com/film/the-lives-of-others/
the lobster,The Lobster,254320,2015,Yorgos Lanthimos,Comedy|Drama|Romance,hotel|suicide attempt|boat|dystopia|woods|romance|punishment|revenge|swimming|grave digging|dead rabbit|blind woman|manhunt|shooting an animal|irreverent|witty|farcical|scathing,,,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into animals and sent off into The Woods.",5.9102,7.027,https://letterboxd.com/film/the-lobster/
the long walk,The Long Walk,604079,2025,Francis Lawrence,Science Fiction|Thriller|Horror,suicide|based on novel or book|competition|dystopia|male friendship|bullying|coming of age|survival|psychological thriller|teenage boy|survival horror|psychological horror|dystopian sci-fi,,,"In a dystopian 1970s America, fifty teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.",14.745,6.925,https://letterboxd.com/film/the-long-walk/
the lord of the rings: the fellowship of the ring,The Lord of the Rings: The Fellowship of the Ring,120,2001,Peter Jackson,Adventure|Fantasy|Action,based on novel or book|elves|dwarf|magic|christianity|obsession|allegory|bravery|fireworks|mine|maze|mountain|castle|birthday party|troll|battle|demon|blizzard|christ allegory|uncle nephew relationship,,,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: ",36.5136,8.431,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
the lord of the rings: the return of the king,The Lord of the Rings: The Return of the King,122,2003,Peter Jackson,Adventure|Fantasy|Action,army|based on novel or book|elves|dwarf|magic|kingdom|christianity|obsession|allegory|bravery|castle|volcano|giant spider|sequel|honor|king|brutality|madness|split personality|christ allegory,,,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evi",28.8105,8.496,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/
the lord of the rings: the two towers,The Lord of the Rings: The Two Towers,121,2002,Peter Jackson,Adventure|Fantasy|Action,mission|army|based on novel or book|elves|dwarf|magic|christianity|obsession|allegory|bravery|castle|reincarnation|sequel|battle|brutality|guide|split personality|marsh|christ allegory|fantasy world,,,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands o",20.2711,8.414,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
the marching band,The Marching Band,1000866,2024,Emmanuel Courcol,Comedy|Drama|Music,brotherhood|marching band|adopted|orchestra conductor|brother brother relationship|amused|sympathetic|tragic,,,"Diagnosed with leukemia, a successful orchestra conductor learns that he is adopted, and his younger brother is in a village marching band. The conductor decides to help them win a regional contest.",2.0485,7.294,https://letterboxd.com/film/the-marching-band/
the martian,The Martian,286217,2015,Ridley Scott,Science Fiction|Drama|Adventure,spacecraft|planet mars|based on novel or book|nasa|isolation|botanist|survival|space|engineering|stranded|astronaut|struggle for survival|duringcreditsstinger|curious|deep space|philosophical|2030s|faithful adaptation|optimistic|oscar nominee,,,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find",18.5976,7.694,https://letterboxd.com/film/the-martian/
the master,The Master,68722,2012,Paul Thomas Anderson,Drama,post-traumatic stress disorder (ptsd)|sexual obsession|religion|drifter|alcoholic|handjob|post war|cult leader|scientology|religious cult|charismatic leader|right hand man|1940s|past life regression|nude dancing,,,"Freddie, a volatile, heavy-drinking veteran who suffers from post-traumatic stress disorder, finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion"" he forms after World War II.",4.4071,7.1,https://letterboxd.com/film/the-master/
the mastermind,The Mastermind,1352624,2025,Kelly Reichardt,Crime|Drama,vietnam war|1970s|massachusetts|father|heist|on the run|new england|woman director|art heist,,,"In a sedate Massachusetts suburb circa 1970, unemployed family man and amateur art thief J.B. Mooney sets out on his first heist. With the museum cased and accomplices recruited, he has an airtight plan. Or so he thinks.",5.3895,5.738,https://letterboxd.com/film/the-mastermind/
the matrix,The Matrix,603,1999,"Lana Wachowski, Lilly Wachowski",Action|Science Fiction,man vs machine|martial arts|kung fu|dreams|fortune teller|artificial intelligence (a.i.)|saving the world|hacker|self sacrifice|virtual reality|fight|prophecy|truth|christianity|philosophy|dystopia|allegory|insurgence|chosen one|pill,,,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",28.6559,8.241,https://letterboxd.com/film/the-matrix/
the matrix resurrections,The Matrix Resurrections,624860,2021,Lana Wachowski,Science Fiction|Action|Adventure,future|man vs machine|underground world|artificial intelligence (a.i.)|computer|virtual reality|prophecy|dystopia|cyberpunk|aftercreditsstinger|dream world|philosophical|gnosticism|grand|romantic|sincere|dystopian sci-fi,,,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",9.5421,6.338,https://letterboxd.com/film/the-matrix-resurrections/
the maze runner,The Maze Runner,198663,2014,Wes Ball,Action|Mystery|Science Fiction|Thriller,based on novel or book|escape|dystopia|maze|post-apocalyptic future|memory loss|trapped|based on young adult novel,,,"A teenager with no memory of his past finds himself among a group of boys living in a walled enclosure surrounded by a massive, ever-changing maze. As he struggles to adapt to their rules and society, he begins to uncover clues that may lead to escape and the truth behind their confinement.",16.0306,7.189,https://letterboxd.com/film/the-maze-runner/
the menu,The Menu,593643,2022,Mark Mylod,Comedy|Horror|Thriller,psychopath|obsession|mass murder|restaurant|dark comedy|revenge|food|mass suicide|dinner|chef|food critic|remote island|french cuisine|culinary arts|fine dining|haute cuisine|gastronomia|commanding|pessimistic|foodies,,,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",10.4806,7.172,https://letterboxd.com/film/the-menu/
